rank,area,epmc_id,pmcid,doi,year,journal,pub_types,title,abstract
11,A4_tissue,34831010,PMC8616054,10.3390/cancers13225857,2021,Cancers,research-article; Journal Article,Human Breast Extracellular Matrix Microstructures and Protein Hydrogel 3D Cultures of Mammary Epithelial Cells.,"Tissue extracellular matrix (ECM) is a structurally and compositionally unique microenvironment within which native cells can perform their natural biological activities. Cells grown on artificial substrata differ biologically and phenotypically from those grown within their native tissue microenvironment. Studies examining human tissue ECM structures and the biology of human tissue cells in their corresponding tissue ECM are lacking. Such investigations will improve our understanding about human pathophysiological conditions for better clinical care. We report here human normal breast tissue and invasive ductal carcinoma tissue ECM structural features. For the first time, a hydrogel was successfully fabricated using whole protein extracts of human normal breast ECM. Using immunofluorescence staining of type I collagen (Col I) and machine learning of its fibrous patterns in the polymerized human breast ECM hydrogel, we have defined the microstructural characteristics of the hydrogel and compared the microstructures with those of other native ECM hydrogels. Importantly, the ECM hydrogel supported 3D growth and cell-ECM interaction of both normal and cancerous mammary epithelial cells. This work represents further advancement toward full reconstitution of the human breast tissue microenvironment, an accomplishment that will accelerate the use of human pathophysiological tissue-derived matrices for individualized biomedical research and therapeutic development."
12,A4_tissue,35987777,PMC9392801,10.1038/s41598-022-18332-3,2022,Scientific reports,"Research Support, Non-U.S. Gov't; research-article; Journal Article",Feasibility and application of machine learning enabled fast screening of poly-beta-amino-esters for cartilage therapies.,"Despite the large prevalence of diseases affecting cartilage (e.g. knee osteoarthritis affecting 16% of population globally), no curative treatments are available because of the limited capacity of drugs to localise in such tissue caused by low vascularisation and electrostatic repulsion. While an effective delivery system is sought, the only option is using high drug doses that can lead to systemic side effects. We introduced poly-beta-amino-esters (PBAEs) to effectively deliver drugs into cartilage tissues. PBAEs are copolymer of amines and di-acrylates further end-capped with other amine; therefore encompassing a very large research space for the identification of optimal candidates. In order to accelerate the screening of all possible PBAEs, the results of a small pool of polymers (n = 90) were used to train a variety of machine learning (ML) methods using only polymers properties available in public libraries or estimated from the chemical structure. Bagged multivariate adaptive regression splines (MARS) returned the best predictive performance and was used on the remaining (n = 3915) possible PBAEs resulting in the recognition of pivotal features; a further round of screening was carried out on PBAEs (n = 150) with small variations of structure of the main candidates from the first round. The refinements of such characteristics enabled the identification of a leading candidate predicted to improve drug uptake > 20 folds over conventional clinical treatment; this uptake improvement was also experimentally confirmed. This work highlights the potential of ML to accelerate biomaterials development by efficiently extracting information from a limited experimental dataset thus allowing patients to benefit earlier from a new technology and at a lower price. Such roadmap could also be applied for other drug/materials development where optimisation would normally be approached through combinatorial chemistry."
13,A4_tissue,38882138,PMC11170757,10.1021/acsomega.4c01234,2024,ACS omega,research-article; Journal Article,Quantitative Evaluation of the Pore and Window Sizes of Tissue Engineering Scaffolds on Scanning Electron Microscope Images Using Deep Learning.,"The morphological characteristics of tissue engineering scaffolds, such as pore and window diameters, are crucial, as they directly impact cell-material interactions, attachment, spreading, infiltration of the cells, degradation rate and the mechanical properties of the scaffolds. Scanning electron microscopy (SEM) is one of the most commonly used techniques for characterizing the microarchitecture of tissue engineering scaffolds due to its advantages, such as being easily accessible and having a short examination time. However, SEM images provide qualitative data that need to be manually measured using software such as ImageJ to quantify the morphological features of the scaffolds. As it is not practical to measure each pore/window in the SEM images as it requires extensive time and effort, only the number of pores/windows is measured and assumed to represent the whole sample, which may cause user bias. Additionally, depending on the number of samples and groups, a study may require measuring thousands of samples and the human error rate may increase. To overcome such problems, in this study, a deep learning model (Pore D2) was developed to quantify the morphological features (such as the pore size and window size) of the open-porous scaffolds automatically for the first time. The developed algorithm was tested on emulsion-templated scaffolds fabricated under different fabrication conditions, such as changing mixing speed, temperature, and surfactant concentration, which resulted in scaffolds with various morphologies. Along with the developed model, blind manual measurements were taken, and the results showed that the developed tool is capable of quantifying pore and window sizes with a high accuracy. Quantifying the morphological features of scaffolds fabricated under different circumstances and controlling these features enable us to engineer tissue engineering scaffolds precisely for specific applications. Pore D2, an open-source software, is available for everyone at the following link: https://github.com/ilaydakaraca/PoreD2."
14,A4_tissue,32094341,PMC7039897,10.1038/s41467-020-14930-9,2020,Nature communications,"Research Support, Non-U.S. Gov't; research-article; Research Support, U.S. Gov't, Non-P.H.S.; Journal Article; Research Support, N.I.H., Extramural",Neural cell integration into 3D bioprinted skeletal muscle constructs accelerates restoration of muscle function.,"A bioengineered skeletal muscle construct that mimics structural and functional characteristics of native skeletal muscle is a promising therapeutic option to treat extensive muscle defect injuries. We previously showed that bioprinted human skeletal muscle constructs were able to form multi-layered bundles with aligned myofibers. In this study, we investigate the effects of neural cell integration into the bioprinted skeletal muscle construct to accelerate functional muscle regeneration in vivo. Neural input into this bioprinted skeletal muscle construct shows the improvement of myofiber formation, long-term survival, and neuromuscular junction formation in vitro. More importantly, the bioprinted constructs with neural cell integration facilitate rapid innervation and mature into organized muscle tissue that restores normal muscle weight and function in a rodent model of muscle defect injury. These results suggest that the 3D bioprinted human neural-skeletal muscle constructs can be rapidly integrated with the host neural network, resulting in accelerated muscle function restoration."
15,A4_tissue,35056244,PMC8778756,10.3390/mi13010079,2022,Micromachines,research-article; Journal Article,Optimization of Complete Rat Heart Decellularization Using Artificial Neural Networks.,"Whole organ decellularization techniques have facilitated the fabrication of extracellular matrices (ECMs) for engineering new organs. Unfortunately, there is no objective gold standard evaluation of the scaffold without applying a destructive method such as histological analysis or DNA removal quantification of the dry tissue. Our proposal is a software application using deep convolutional neural networks (DCNN) to distinguish between different stages of decellularization, determining the exact moment of completion. Hearts from male Sprague Dawley rats (n = 10) were decellularized using 1% sodium dodecyl sulfate (SDS) in a modified Langendorff device in the presence of an alternating rectangular electric field. Spectrophotometric measurements of deoxyribonucleic acid (DNA) and total proteins concentration from the decellularization solution were taken every 30 min. A monitoring system supervised the sessions, collecting a large number of photos saved in corresponding folders. This system aimed to prove a strong correlation between the data gathered by spectrophotometry and the state of the heart that could be visualized with an OpenCV-based spectrometer. A decellularization completion metric was built using a DCNN based classifier model trained using an image set comprising thousands of photos. Optimizing the decellularization process using a machine learning approach launches exponential progress in tissue bioengineering research."
16,A4_tissue,34027089,PMC8126813,10.1002/btm2.10200,2021,Bioengineering & translational medicine,research-article; Journal Article,Screening of important metabolites and KRAS genotypes in colon cancer using secondary ion mass spectrometry.,"Time-of-flight secondary ion mass spectrometry (TOF-SIMS) is an imaging-based analytical technique that can characterize the surfaces of biomaterials. We used TOF-SIMS to identify important metabolites and oncogenic KRAS mutation expressed in human colorectal cancer (CRC). We obtained 540 TOF-SIMS spectra from 180 tissue samples by scanning cryo-sections and selected discriminatory molecules using the support vector machine (SVM) algorithm. Each TOF-SIMS spectrum contained nearly 860,000 ion profiles and hundreds of spectra were analyzed; therefore, reducing the dimensionality of the original data was necessary. We performed principal component analysis after preprocessing the spectral data, and the principal components (20) of each spectrum were used as the inputs of the SVM algorithm using the R package. The performance of the algorithm was evaluated using the receiver operating characteristic (ROC) area under the curve (AUC) (0.9297). Spectral peaks (m/z) corresponding to discriminatory molecules used to classify normal and tumor samples were selected according to p-value and were assigned to arginine, α-tocopherol, and fragments of glycerophosphocholine. Pathway analysis using these discriminatory molecules showed that they were involved in gastrointestinal disease and organismal abnormalities. In addition, spectra were classified according to the expression of KRAS somatic mutation, with 0.9921 AUC. Taken together, TOF-SIMS efficiently and simultaneously screened metabolite biomarkers and performed KRAS genotyping. In addition, a machine learning algorithm was provided as a diagnostic tool applied to spectral data acquired from clinical samples prepared as frozen tissue slides, which are commonly used in a variety of biomedical tests."
17,A4_tissue,37276437,PMC10427398,10.1002/advs.202301207,2023,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",research-article; Journal Article,Surgical Sealant with Integrated Shape-Morphing Dual Modality Ultrasound and Computed Tomography Sensors for Gastric Leak Detection.,"Postoperative anastomotic leaks are the most feared complications after gastric surgery. For diagnostics clinicians mostly rely on clinical symptoms such as fever and tachycardia, often developing as a result of an already fully developed, i.e., symptomatic, surgical leak. A gastric fluid responsive, dual modality, electronic-free, leak sensor system integrable into surgical adhesive suture support materials is introduced. Leak sensors contain high atomic number carbonates embedded in a polyacrylamide matrix, that upon exposure to gastric fluid convert into gaseous carbon dioxide (CO2 ). CO2 bubbles remain entrapped in the hydrogel matrix, leading to a distinctly increased echogenic contrast detectable by a low-cost and portable ultrasound transducer, while the dissolution of the carbonate species and the resulting diffusion of the cation produces a markedly reduced contrast in computed tomography imaging. The sensing elements can be patterned into a variety of characteristic shapes and can be combined with nonreactive tantalum oxide reference elements, allowing the design of shape-morphing sensing elements visible to the naked eye as well as artificial intelligence-assisted automated detection. In summary, shape-morphing dual modality sensors for the early and robust detection of postoperative complications at deep tissue sites, opening new routes for postoperative patient surveillance using existing hospital infrastructure is reported."
18,A4_tissue,38960112,PMC13128258,10.1016/j.actbio.2024.06.038,2024,Acta biomaterialia,"research-article; Journal Article; Research Support, N.I.H., Extramural",Discovering 3D hidden elasticity in isotropic and transversely isotropic materials with physics-informed UNets.,"Three-dimensional variation in structural components or fiber alignments results in complex mechanical property distribution in tissues and biomaterials. In this paper, we use a physics-informed UNet-based neural network model (El-UNet) to discover the three-dimensional (3D) internal composition and space-dependent material properties of heterogeneous isotropic and transversely isotropic materials without a priori knowledge of the composition. We then show the capabilities of El-UNet by validating against data obtained from finite-element simulations of two soft tissues, namely, brain tissue and articular cartilage, under various loading conditions. We first simulated compressive loading of 3D brain tissue comprising of distinct white matter and gray matter mechanical properties undergoing small strains with isotropic linear elastic behavior, where El-UNet reached mean absolute relative errors under 1.5 % for elastic modulus and Poisson's ratio estimations across the 3D volume. We showed that the 3D solution achieved by El-UNet was superior to relative stiffness mapping by inverse of axial strain and two-dimensional plane stress/plane strain approximations. Additionally, we simulated a transversely isotropic articular cartilage with known fiber orientations undergoing compressive loading, and accurately estimated the spatial distribution of all five material parameters, with mean absolute relative errors under 5 %. Our work demonstrates the application of the computationally efficient physics-informed El-UNet in 3D elasticity imaging and provides methods for translation to experimental 3D characterization of soft tissues and other materials. The proposed El-UNet offers a powerful tool for both in vitro and ex vivo tissue analysis, with potential extensions to in vivo diagnostics. STATEMENT OF SIGNIFICANCE: Elasticity imaging is a technique that reconstructs mechanical properties of tissue using deformation and force measurements. Given the complexity of this reconstruction, most existing methods have mostly focused on 2D problems. Our work is the first implementation of physics-informed UNets to reconstruct three-dimensional material parameter distributions for isotropic and transversely isotropic linear elastic materials by having deformation and force measurements. We comprehensively validate our model using synthetic data generated using finite element models of biological tissues with high bio-fidelity-the brain and articular cartilage. Our method can be implemented in elasticity imaging scenarios for in vitro and ex vivo mechanical characterization of biomaterials and biological tissues, with potential extensions to in vivo diagnostics."
19,A4_tissue,37304146,PMC10250676,10.3389/fbioe.2023.1105377,2023,Frontiers in bioengineering and biotechnology,research-article; Journal Article,Computational approaches for evaluating morphological changes in the corneal stroma associated with decellularization.,"Decellularized corneas offer a promising and sustainable source of replacement grafts, mimicking native tissue and reducing the risk of immune rejection post-transplantation. Despite great success in achieving acellular scaffolds, little consensus exists regarding the quality of the decellularized extracellular matrix. Metrics used to evaluate extracellular matrix performance are study-specific, subjective, and semi-quantitative. Thus, this work focused on developing a computational method to examine the effectiveness of corneal decellularization. We combined conventional semi-quantitative histological assessments and automated scaffold evaluations based on textual image analyses to assess decellularization efficiency. Our study highlights that it is possible to develop contemporary machine learning (ML) models based on random forests and support vector machine algorithms, which can identify regions of interest in acellularized corneal stromal tissue with relatively high accuracy. These results provide a platform for developing machine learning biosensing systems for evaluating subtle morphological changes in decellularized scaffolds, which are crucial for assessing their functionality."
20,A4_tissue,41767930,PMC12945539,10.1364/boe.550401,2025,Biomedical optics express,research-article; Journal Article,Automated cell properties toolbox from 3D bioprinted hydrogel scaffolds via deep learning and optical coherence tomography.,"Accurately assessing cell viability and morphological properties within 3D bioprinted hydrogel scaffolds is essential for tissue engineering but remains challenging due to the limitations of existing invasive and threshold-based methods. We present a computational toolbox that automates cell viability analysis and quantifies key properties such as elongation, flatness, and surface roughness. This framework integrates optical coherence tomography (OCT) with deep learning-based segmentation, achieving a mean segmentation precision of 88.96%. By leveraging OCT's high-resolution imaging with deep learning-based segmentation, our novel approach enables non-invasive, quantitative analysis, which can advance rapid monitoring of 3D cell cultures for regenerative medicine and biomaterial research."
21,A4_tissue,37148168,PMC10369251,10.1002/advs.202300339,2023,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)","Research Support, Non-U.S. Gov't; research-article; Journal Article",Photothermal Controlled-Release Immunomodulatory Nanoplatform for Restoring Nerve Structure and Mechanical Nociception in Infectious Diabetic Ulcers.,"Infectious diabetic ulcers (IDU) require anti-infection, angiogenesis, and nerve regeneration therapy; however, the latter has received comparatively less research attention than the former two. In particular, there have been few reports on the recovery of mechanical nociception. In this study, a photothermal controlled-release immunomodulatory hydrogel nanoplatform is tailored for the treatment of IDU. Due to a thermal-sensitive interaction between polydopamine-reduced graphene oxide (pGO) and the antibiotic mupirocin, excellent antibacterial efficacy is achieved through customized release kinetics. In addition, Trem2+ macrophages recruited by pGO regulate collagen remodeling and restore skin adnexal structures to alter the fate of scar formation, promote angiogenesis, accompanied by the regeneration of neural networks, which ensures the recovery of mechanical nociception and may prevent the recurrence of IDU at the source. In all, a full-stage strategy from antibacterial, immune regulation, angiogenesis, and neurogenesis to the recovery of mechanical nociception, an indispensable neural function of skin, is introduced to IDU treatment, which opens up an effective and comprehensive therapy for refractory IDU."
22,A4_tissue,39996684,PMC11855032,10.3390/gels11020141,2025,"Gels (Basel, Switzerland)",research-article; Journal Article,The Optimization of Culture Conditions for Injectable Recombinant Collagen Hydrogel Preparation Using Machine Learning.,"Injectable recombinant collagen hydrogels (RCHs) are crucial in biomedical applications. Culture conditions play an important role in the preparation of hydrogels. However, determining the characteristics of hydrogels under certain conditions and determining the optimal conditions swiftly still remain challenging tasks. In this study, a machine learning approach was introduced to explore the correlation between hydrogel characteristics and culture conditions and determine the optimal culture conditions. The study focused on four key factors as independent variables: initial substrate concentration, reaction temperature, pH level, and reaction time, while the dependent variable was the elastic modulus of the hydrogels. To analyze the impact of these factors on the elastic modulus, four mathematical models were employed, including multiple linear regression (ML), decision tree (DT), support vector machine (SVM), and neural network (NN). The theoretical outputs of NN were closest to the actual values. Therefore, NN proved to be the most suitable model. Subsequently, the optimal culture conditions were identified as a substrate concentration of 15% (W/V), a reaction temperature of 4 °C, a pH of 7.0, and a reaction time of 12 h. The hydrogels prepared under these specific conditions exhibited a predicted elastic modulus of 15,340 Pa, approaching that of natural elastic cartilage."
23,A4_tissue,37545512,PMC10402919,10.3389/fimmu.2023.1188835,2023,Frontiers in immunology,"Research Support, Non-U.S. Gov't; research-article; Journal Article","A novel 3D spheroid model of rheumatoid arthritis synovial tissue incorporating fibroblasts, endothelial cells, and macrophages.","ObjectiveRheumatoid Arthritis (RA) is a progressive and systemic autoimmune disorder associated with chronic and destructive joint inflammation. The hallmarks of joint synovial inflammation are cellular proliferation, extensive neoangiogenesis and infiltration of immune cells, including macrophages. In vitro approaches simulating RA synovial tissue are crucial in preclinical and translational research to evaluate novel diagnostic and/or therapeutic markers. Two-dimensional (2D) settings present very limited in vivo physiological proximity as they cannot recapitulate cell-cell and cell-matrix interactions occurring in the three-dimensional (3D) tissue compartment. Here, we present the engineering of a spheroid-based model of RA synovial tissue which mimics 3D interactions between cells and pro-inflammatory mediators present in the inflamed synovium.MethodsSpheroids were generated by culturing RA fibroblast-like-synoviocytes (RAFLS), human umbilical vein endothelial cells (ECs) and monocyte-derived macrophages in a collagen-based 3D scaffold. The spheroids were cultured in the presence or absence of vascular endothelial growth factor (VEGF) and fibroblast growth factor 2 (bFGF) or RA synovial fluid (SF). Spheroid expansion and cell migration were quantified for all conditions using confocal microscopy and digital image analysis.ResultsA novel approach using machine learning was developed to quantify spheroid outgrowth and used to reexamine the existing spheroid-based model of RA synovial angiogenesis consisting of ECs and RAFLS. A 2-fold increase in the spheroid outgrowth ratio was demonstrated upon VEGF/bFGF stimulation (p4 RAFLS, 7.5x104 ECs and 3.0x104 macrophages) resulted in good incorporation of the new cell type. The addition of VEGF/bFGF significantly induced spheroid outgrowth (pConclusionWe present a novel spheroid based model consisting of RAFLS, ECs and macrophages that reflects the RA synovial tissue microenvironment. This model may be used to dissect the role of specific cell types in inflammatory responses in RA, to study specific signaling pathways involved in the disease pathogenesis and examine the effects of novel diagnostic (molecular imaging) and therapeutic compounds, including small molecule inhibitors and biologics."
