rank,area,epmc_id,pmcid,doi,year,journal,pub_types,title,abstract
11,A2_property,33659274,PMC7917235,10.3389/fmolb.2020.632122,2020,Frontiers in molecular biosciences,research-article; Journal Article,Coarse-Grained Simulation of Mechanical Properties of Single Microtubules With Micrometer Length.,"Microtubules are one of the most important components in the cytoskeleton and play a vital role in maintaining the shape and function of cells. Because single microtubules are some micrometers long, it is difficult to simulate such a large system using an all-atom model. In this work, we use the newly developed convolutional and K-means coarse-graining (CK-CG) method to establish an ultra-coarse-grained (UCG) model of a single microtubule, on the basis of the low electron microscopy density data of microtubules. We discuss the rationale of the micro-coarse-grained microtubule models of different resolutions and explore microtubule models up to 12-micron length. We use the devised microtubule model to quantify mechanical properties of microtubules of different lengths. Our model allows mesoscopic simulations of micrometer-level biomaterials and can be further used to study important biological processes related to microtubule function."
12,A2_property,37865639,PMC10590434,10.1038/s41598-023-43689-4,2023,Scientific reports,"Research Support, Non-U.S. Gov't; research-article; Journal Article",Application of ensemble machine learning approach to assess the factors affecting size and polydispersity index of liposomal nanoparticles.,"Liposome nanoparticles have emerged as promising drug delivery systems due to their unique properties. Assessing particle size and polydispersity index (PDI) is critical for evaluating the quality of these liposomal nanoparticles. However, optimizing these parameters in a laboratory setting is both costly and time-consuming. This study aimed to apply a machine learning technique to assess the impact of specific factors, including sonication time, extrusion temperature, and compositions, on the size and PDI of liposomal nanoparticles. Liposomal solutions were prepared and subjected to sonication with varying values for these parameters. Two compositions: (A) HSPC:DPPG:Chol:DSPE-mPEG2000 at 55:5:35:5 molar ratio and (B) HSPC:Chol:DSPE-mPEG2000 at 55:40:5 molar ratio, were made using remote loading method. Ensemble learning (EL), a machine learning technique, was employed using the Least-squares boosting (LSBoost) algorithm to accurately model the data. The dataset was randomly split into training and testing sets, with 70% allocated for training. The LSBoost algorithm achieved mean absolute errors of 1.652 and 0.0105 for modeling the size and PDI, respectively. Under conditions where the temperature was set at approximately 60 °C, our EL model predicted a minimum particle size of 116.53 nm for composition (A) with a sonication time of approximately 30 min. Similarly, for composition (B), the model predicted a minimum particle size of 129.97 nm with sonication times of approximately 30 or 55 min. In most instances, a PDI of less than 0.2 was achieved. These results highlight the significant impact of optimizing independent factors on the characteristics of liposomal nanoparticles and demonstrate the potential of EL as a decision support system for identifying the best liposomal formulation. We recommend further studies to explore the effects of other independent factors, such as lipid composition and surfactants, on liposomal nanoparticle characteristics."
13,A2_property,39722843,PMC11667291,10.1021/envhealth.4c00088,2024,"Environment & health (Washington, D.C.)",research-article; Journal Article,Balancing the Functionality and Biocompatibility of Materials with a Deep-Learning-Based Inverse Design Framework.,"The rational design of molecules with the desired functionality presents a significant challenge in chemistry. Moreover, it is worth noting that making chemicals safe and sustainable is crucial to bringing them to the market. To address this, we propose a novel deep learning framework developed explicitly for inverse design of molecules with both functionality and biocompatibility. This innovative approach comprises two predictive models and one generative model, facilitating the targeted screening of novel molecules from created virtual chemical space. Our method's versatility is highlighted in the inverse design process, where it successfully generates molecules with specified motifs or composition, discovers synthetically accessible molecules, and jointly targets functional and safe properties beyond the training regime. The utility of this method is demonstrated in its ability to design ionic liquids (ILs) with enhanced antibacterial properties and reduced cytotoxicity, addressing the issue of balancing functionality and biocompatibility in molecular design."
14,A2_property,41419756,PMC12858976,10.1038/s41597-025-06456-w,2025,Scientific data,Dataset; data-paper; Journal Article,A Comprehensive Dataset of Lipid Nanoparticle Compositions and Properties for Nucleic Acid Delivery.,"Lipid nanoparticles (LNPs) have emerged as the leading delivery platform for nucleic acid therapeutics, with clinical success demonstrated in mRNA vaccines and therapeutic applications. However, rational design of LNP remains challenging due to the complex relationships among LNP composition, physicochemical properties, and biological performance, as well as the scattered experimental data across the literature. Here, we present LNP Atlas, a comprehensive dataset containing LNP formulations extracted from peer-reviewed publications. We developed an artificial intelligence-assisted data extraction workflow, followed by automated standardization pipelines implemented in Python to ensure data consistency and quality. The dataset contains lipid types and compositions, including molar ratios and SMILES codes, physicochemical properties (particle size, polydispersity index, zeta potential), synthesis parameters, and bioactivity profiles. This resource is expected to support the research community by facilitating data-driven insights into lipid nanoparticle formulation and accelerating the development of effective nucleic acid delivery systems."
15,A2_property,40710711,PMC12294283,10.3390/gels11070550,2025,"Gels (Basel, Switzerland)",research-article; Journal Article,Interpretable Prediction and Analysis of PVA Hydrogel Mechanical Behavior Using Machine Learning.,"Polyvinyl alcohol (PVA) hydrogels have emerged as versatile materials due to their exceptional biocompatibility and tunable mechanical properties, showing great promise for flexible sensors, smart wound dressings, and tissue engineering applications. However, rational design remains challenging due to complex structure-property relationships involving multiple formulation parameters. This study presents an interpretable machine learning framework for predicting PVA hydrogel tensile strain properties with emphasis on mechanistic understanding, based on a comprehensive dataset of 350 data points collected from a systematic literature review. XGBoost demonstrated superior performance after Optuna-based optimization, achieving R2 values of 0.964 for training and 0.801 for testing. SHAP analysis provided unprecedented mechanistic insights, revealing that PVA molecular weight dominates mechanical performance (SHAP importance: 84.94) through chain entanglement and crystallization mechanisms, followed by degree of hydrolysis (72.46) and cross-linking parameters. The interpretability analysis identified optimal parameter ranges and critical feature interactions, elucidating complex non-linear relationships and reinforcement mechanisms. By addressing the ""black box"" limitation of machine learning, this approach enables rational design strategies and mechanistic understanding for next-generation multifunctional hydrogels."
16,A2_property,39071718,PMC11283115,10.1016/j.heliyon.2024.e33967,2024,Heliyon,research-article; Journal Article,A comparative study of machine learning and response surface methodologies for optimizing wear parameters of ECAP-processed ZX30 alloy.,"Magnesium, valued for its lightweight, recyclability, and biocompatibility, faces challenges like its poor wear behavior and mechanical properties that limit its adaptation for a multitude of applications. In this study, various statistical analyses, and machine learning (ML) techniques were employed to optimize equal channel angular pressing (ECAP) process parameters for improving the wear behavior of Mg-3wt.% Zn-0.7 wt% Ca alloy. ECAP was conducted up to four passes via route Bc at 250 °C. Wear testing of both as-annealed (AA) and ECAP-processed alloys was performed using the dry ball-on-flat wear method under varying loads, speeds, and time. One pass (1P) and 4Bc-ECAP resulted in a notable uniform grain refinement of 86 % and 91 %, respectively, compared to the AA. X-ray diffraction (XRD) analysis confirmed a refined structure attributed to extensive dynamic recrystallization. Mechanical wear testing revealed a significant reduction in volume loss (VL), up to 56 % and 28.5 % after 1P and 4Bc samples, respectively, compared to the AA sample, supported by the observed texture intensity. The coefficient of friction (COF) stabilizes at 0.30-0.45, indicating low friction characteristics. Next, by adjusting wear load and speed through design of experiments (DOE), the wear output responses, VL and COF, were experimentally investigated. The output responses were predicted in the second step using ML, 3D response surface plots, and statistical analysis of variance (ANOVA). According to the regression model, the minimal VL was attained at a 5 N applied load. Also, the wear speed and VL at different passes are inversely proportional. On the other hand, the optimal COF was obtained at applied load about 2-3 N and 250 mm/s at different passes. The wear process variables were then optimized using different optimization techniques namely, genetic algorithm (GA), hybrid DOE-GA, and multi-objective genetic algorithm (MOGA) approaches."
17,A2_property,40213493,PMC11935994,10.1002/smsc.202200076,2023,Small science,research-article; Journal Article,Nanocellulose: Recent Advances Toward Biomedical Applications.,"Sustainable materials are key to the continual improvement of living standards on this planet with minimal environmental impacts. Nanocellulose combines the fascinating features of nanomaterials with favorable properties of the abundantly available cellulose biopolymer, which in recent years has gained much attention toward biomedical applications by virtue of its unique surface chemistry, remarkable physical features, and inherent biological attributes. Herein, the recent advances in nanocellulose-based biomedical materials, with foci on biomolecule immobilization, drug delivery, cell culture and tissue engineering (TE), antimicrobial strategy, wound healing, and biomedical implants are summarized. Each topic is elaborated with representative examples to present the significance of nanocelluloses in their respective material design principles utilizing different sub-types, including cellulose nanofibers (CNFs), cellulose nanocrystals (CNCs), and bacterial nanocellulose (BNC). The current state of large-scale production of nanocellulose and accelerated development by artificial intelligence and machine learning are also briefly discussed, before ending with its future prospects and potential challenges."
18,A2_property,36238665,PMC9552694,10.1155/2022/6709464,2022,Computational intelligence and neuroscience,research-article; Journal Article,Modeling and Optimization for a New Compliant 2-dof Stage for Locating Biomaterial Samples by an Efficient Approach of a Kinetostatic Analysis-Based Method and Neural Network Algorithm.,"The nanoindentation technique is employed to characterize the behaviors of biomaterials. Nevertheless, there is a lack of development of a miniaturized precise positioner for in situ nanoindentation. Besides, modeling behaviors of the positioner are restricted due to its complex kinematic characteristics. Therefore, this paper proposes a novel compliant two degrees of freedom (dof) stage for positioning a biomaterial sample in in situ nanoindentation. In addition, a new modeling and dimensional optimization synthesis method of the stage is developed. The proposed effective methodology is developed based on a kinetostatic analysis-based calculation method, the Lagrange approach, and a neural network algorithm. With an increased advance in artificial intelligence, a neural network algorithm is proposed to extend the applicability of artificial neural networks in optimizing the parameters of the stage. First, the 2-dof stage is built via a combination of an eight-lever displacement amplifier and a symmetric parallelogram mechanism. Second, a chain of mathematical equations of the 2-dof stage is constructed using a kinetostatic analysis-based method to calculate the ratio of displacement amplification and the input stiffness of the 2-dof stage. Then, the Lagrange method is utilized to formulate the dynamic equation of the 2-dof stage. Finally, a neural network algorithm is adopted to maximize the natural first frequency of the proposed stage. The optimal results determined that the frequency of the stage can achieve a high value of 112.0995 Hz. Besides, the formed mathematical models were relatively precise by comprising the simulation verifications."
19,A2_property,39738043,PMC11685617,10.1038/s41467-024-55072-6,2024,Nature communications,"Research Support, Non-U.S. Gov't; research-article; Journal Article",Artificial intelligence-driven rational design of ionizable lipids for mRNA delivery.,"Lipid nanoparticles (LNPs) have proven effective in mRNA delivery, as evidenced by COVID-19 vaccines. Its key ingredient, ionizable lipids, is traditionally optimized by inefficient and costly experimental screening. This study leverages artificial intelligence (AI) and virtual screening to facilitate the rational design of ionizable lipids by predicting two key properties of LNPs, apparent pKa and mRNA delivery efficiency. Nearly 20 million ionizable lipids were evaluated through two iterations of AI-driven generation and screening, yielding three and six new molecules, respectively. In mouse test validation, one lipid from the initial iteration, featuring a benzene ring, demonstrated performance comparable to the control DLin-MC3-DMA (MC3). Notably, all six lipids from the second iteration equaled or outperformed MC3, with one exhibiting efficacy akin to a superior control lipid SM-102. Furthermore, the AI model is interpretable in structure-activity relationships."
20,A2_property,41087421,PMC12521365,10.1038/s41598-025-19683-3,2025,Scientific reports,research-article; Journal Article,Development and In Vivo evaluation of liposomal fentanyl nanocarriers using thin-film hydration and AI-based characterization for enhanced analgesic efficacy in anesthesia.,"The aim of this study was to develop and evaluate a liposomal formulation of fentanyl to improve its analgesic efficacy and safety profile in anesthesia, using artificial intelligence (AI) techniques to characterize and optimize the formulation. The liposomes were prepared using the thin-film hydration method, resulting in vesicles with an average diameter of 120.4 ± 10.2 nm and a polydispersity index of 0.23 ± 0.05. The encapsulation efficiency of fentanyl was determined by high performance liquid chromatography (HPLC) and was 85.0 ± 3.2%. A convolutional neural network (CNN) implemented in TensorFlow/Keras (Python) was used for automated analysis of scanning electron microscopy (SEM) images to evaluate the morphology of liposomes. In vitro drug release was studied over 12 hours using a dialysis method. The analgesic efficacy and safety of the liposomal formulation was evaluated in a rat pain model by comparing the paw withdrawal latency (PWL) and mechanical thresholds of Frey with standard fentanyl. A Gaussian Process Regression (GPR) model developed using scikit-learn (Python) was used to predict liposome properties based on formulation parameters. CNN analysis confirmed predominantly spherical liposomes with 3.2% aggregates and 1.8% broken particles. In vitro release studies showed sustained release of fentanyl with an initial burst of approximately 10%. In vivo, the liposomal fentanyl group showed significantly prolonged analgesia (PWL: 12.4 ± 2.1 seconds) compared to standard fentanyl (8.5 ± 1.5 seconds, p 2 > 0.85) for key formulation characteristics. The novelty of this work lies in the integration of AI-driven characterization (CNN for SEM) and predictive modeling (GPR) into the development and optimization of liposomal fentanyl nanocarriers, enabling objective morphological analysis and data-driven formulation design. The developed liposomal fentanyl formulation provides sustained drug release, increased analgesic efficacy and improved safety compared to standard fentanyl. This AI-enhanced approach offers a promising strategy for optimizing liposomal drug delivery systems in anesthesia and pain management."
21,A2_property,32537404,PMC7284204,10.1002/advs.201903392,2020,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",research-article; Journal Article,Immune Modulation by Design: Using Topography to Control Human Monocyte Attachment and Macrophage Differentiation.,"Macrophages play a central role in orchestrating immune responses to foreign materials, which are often responsible for the failure of implanted medical devices. Material topography is known to influence macrophage attachment and phenotype, providing opportunities for the rational design of ""immune-instructive"" topographies to modulate macrophage function and thus foreign body responses to biomaterials. However, no generalizable understanding of the inter-relationship between topography and cell response exists. A high throughput screening approach is therefore utilized to investigate the relationship between topography and human monocyte-derived macrophage attachment and phenotype, using a diverse library of 2176 micropatterns generated by an algorithm. This reveals that micropillars 5-10 µm in diameter play a dominant role in driving macrophage attachment compared to the many other topographies screened, an observation that aligns with studies of the interaction of macrophages with particles. Combining the pillar size with the micropillar density is found to be key in modulation of cell phenotype from pro to anti-inflammatory states. Machine learning is used to successfully build a model that correlates cell attachment and phenotype with a selection of descriptors, illustrating that materials can potentially be designed to modulate inflammatory responses for future applications in the fight against foreign body rejection of medical devices."
22,A2_property,39852017,PMC11765179,10.3390/gels11010045,2025,"Gels (Basel, Switzerland)",research-article; Journal Article,Characterization and Machine Learning-Driven Property Prediction of a Novel Hybrid Hydrogel Bioink Considering Extrusion-Based 3D Bioprinting.,"The field of tissue engineering has made significant advancements with extrusion-based bioprinting, which uses shear forces to create intricate tissue structures. However, the success of this method heavily relies on the rheological properties of bioinks. Most bioinks use shear-thinning. While a few component-based efforts have been reported to predict the viscosity of bioinks, the impact of shear rate has been vastly ignored. To address this gap, our research presents predictive models using machine learning (ML) algorithms, including polynomial fit (PF), decision tree (DT), and random forest (RF), to estimate bioink viscosity based on component weights and shear rate. We utilized novel bioinks composed of varying percentages of alginate (2-5.25%), gelatin (2-5.25%), and TEMPO-Nano fibrillated cellulose (0.5-1%) at shear rates from 0.1 to 100 s-1. Our study analyzed 169 rheological measurements using 80% training and 20% validation data. The results, based on the coefficient of determination (R2) and mean absolute error (MAE), showed that the RF algorithm-based model performed best: [(R2, MAE) RF = (0.99, 0.09), (R2, MAE) PF = (0.95, 0.28), (R2, MAE) DT = (0.98, 0.13)]. These predictive models serve as valuable tools for bioink formulation optimization, allowing researchers to determine effective viscosities without extensive experimental trials to accelerate tissue engineering."
